;;Bauinvestitionen in Mio. CHF, Kanton St.Gallen, Wahlkreise und Gemeinden, 1994 - 2022;;;;;;;;;;;;;Bauinvestitionen in Mio. CHF, Kanton St.Gallen, Wahlkreise und Gemeinden, 1994 - 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Bundesamt für Statistik: Bau- und Wohnbaustatistik (ab 2013 neues Erhebungskonzept; mit Korrekturen FfS-St.Gallen)";;;"Bundesamt für Statistik: Bau- und Wohnbaustatistik (ab 2013 neues Erhebungskonzept; mit Korrekturen FfS-St.Gallen)";;;;;;;;;;"Bundesamt für Statistik: Bau- und Wohnbaustatistik (ab 2013 neues Erhebungskonzept; mit Korrekturen FfS-St.Gallen)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BFS-Nr.;Räumliche Ebene;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Kanton St.Gallen;2988.826; 3’041.9 ; 3’155.8 ; 2’994.5 ; 2’899.9 ; 2’733.6 ; 2’739.1 ; 2’636.5 ; 2’590.3 ; 2’782.3 ; 2’899.9 ; 2’759.1 ; 2’676.9 ; 2’498.0 ; 2’691.3 ; 2’481.7 ; 2’408.2 ; 2’444.7 ; 2’252.1 ; 2’205.8 ; 2’185.7 ; 2’565.2 ; 2’150.3 ; 2’044.5 ; 2’049.8 ; 2’165.2 ; 2’451.9 ; 2’849.7 ; 3’020.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1721;Wahlkreis St.Gallen;681.18; 665.1 ; 778.8 ; 706.2 ; 704.0 ; 668.5 ; 684.2 ; 657.7 ; 631.4 ; 582.6 ; 615.4 ; 649.0 ; 681.1 ; 567.0 ; 732.8 ; 724.1 ; 680.5 ; 706.8 ; 541.0 ; 544.2 ; 633.0 ; 1’007.1 ; 462.1 ; 502.5 ; 494.8 ; 550.3 ; 655.4 ; 686.7 ; 621.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3441;Andwil (SG);8.155; 7.2 ; 14.1 ; 12.9 ; 11.6 ; 18.1 ; 16.2 ; 6.7 ; 3.8 ; 6.9 ; 9.1 ; 9.3 ; 6.2 ; 3.5 ; 10.8 ; 13.0 ; 9.0 ; 7.5 ; 10.3 ; 9.4 ; 12.2 ; 8.5 ; 25.5 ; 14.2 ; 9.8 ; 17.6 ; 21.0 ; 13.2 ; 10.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3212;Eggersriet;9.185; 8.3 ; 7.6 ; 6.3 ; 22.2 ; 10.0 ; 3.5 ; 4.2 ; 4.2 ; 5.7 ; 9.8 ; 7.1 ; 6.8 ; 7.8 ; 2.4 ; 6.5 ; 10.5 ; 4.0 ; 8.6 ; 8.8 ; 3.9 ; 6.6 ; 7.9 ; 6.4 ; 4.0 ; 2.9 ; 10.9 ; 13.4 ; 8.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3442;Gaiserwald;29.051; 19.9 ; 34.4 ; 31.5 ; 35.8 ; 45.4 ; 52.0 ; 57.9 ; 44.1 ; 42.1 ; 21.3 ; 28.1 ; 17.7 ; 25.2 ; 14.0 ; 36.8 ; 18.4 ; 40.0 ; 20.3 ; 20.0 ; 17.5 ; 27.4 ; 30.1 ; 33.5 ; 27.1 ; 74.4 ; 39.1 ; 54.1 ; 46.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3443;Gossau (SG);98.703; 69.7 ; 56.4 ; 51.4 ; 55.7 ; 79.0 ; 81.7 ; 82.3 ; 76.5 ; 53.9 ; 85.6 ; 73.6 ; 50.4 ; 58.7 ; 89.7 ; 132.5 ; 59.3 ; 87.1 ; 75.3 ; 50.7 ; 83.4 ; 82.2 ; 89.6 ; 93.7 ; 106.6 ; 117.9 ; 154.7 ; 157.5 ; 117.5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3201;Häggenschwil;8.452; 5.8 ; 3.3 ; 7.6 ; 10.7 ; 17.7 ; 8.6 ; 11.1 ; 14.7 ; 12.1 ; 9.0 ; 7.1 ; 7.5 ; 15.6 ; 3.0 ; 8.2 ; 9.1 ; 2.6 ; 6.1 ; 1.8 ; 4.6 ; 6.5 ; 8.9 ; 8.2 ; 5.9 ; 6.2 ; 4.0 ; 13.7 ; 5.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3202;Muolen;5.067; 3.8 ; 3.3 ; 7.0 ; 11.9 ; 10.1 ; 7.2 ; 9.6 ; 11.5 ; 3.4 ; 7.9 ; 20.8 ; 32.2 ; 9.3 ; 10.3 ; 2.7 ; 2.6 ; 2.7 ; 3.6 ; 3.6 ; 1.7 ; 4.5 ; 5.3 ; 8.2 ; 4.6 ; 3.7 ; 6.2 ; 5.3 ; 8.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3203;St.Gallen;482.837; 508.9 ; 604.9 ; 523.6 ; 492.1 ; 456.6 ; 463.3 ; 438.5 ; 407.7 ; 388.2 ; 437.1 ; 446.7 ; 471.0 ; 397.1 ; 540.5 ; 454.2 ; 504.4 ; 508.6 ; 360.6 ; 408.5 ; 468.8 ; 831.5 ; 254.3 ; 269.0 ; 268.1 ; 262.9 ; 342.8 ; 347.4 ; 348.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3444;Waldkirch;17.097; 13.9 ; 12.0 ; 24.4 ; 22.7 ; 16.6 ; 20.0 ; 13.6 ; 33.3 ; 28.3 ; 15.5 ; 13.1 ; 23.4 ; 19.6 ; 27.5 ; 18.4 ; 16.2 ; 16.2 ; 21.6 ; 14.4 ; 11.0 ; 14.8 ; 14.3 ; 34.1 ; 17.2 ; 13.8 ; 17.4 ; 30.4 ; 28.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3204;Wittenbach;22.633; 27.6 ; 42.7 ; 41.4 ; 41.3 ; 15.1 ; 31.6 ; 33.8 ; 35.5 ; 41.9 ; 20.0 ; 43.2 ; 66.0 ; 30.3 ; 34.7 ; 52.0 ; 51.1 ; 38.1 ; 34.7 ; 27.0 ; 29.8 ; 25.1 ; 26.2 ; 35.0 ; 51.6 ; 51.0 ; 59.4 ; 51.7 ; 47.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1722;Wahlkreis Rorschach;248.252; 214.3 ; 236.4 ; 207.0 ; 249.0 ; 227.1 ; 200.8 ; 149.2 ; 135.5 ; 234.8 ; 279.0 ; 271.0 ; 172.5 ; 193.2 ; 155.5 ; 157.0 ; 127.5 ; 131.3 ; 135.3 ; 149.2 ; 126.9 ; 158.3 ; 201.1 ; 185.0 ; 185.3 ; 176.3 ; 167.0 ; 228.8 ; 221.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3211;Berg (SG);8.925; 10.3 ; 8.8 ; 10.1 ; 8.7 ; 4.0 ; 2.3 ; 1.7 ; 3.2 ; 2.2 ; 1.9 ; 2.4 ; 2.5 ; 1.3 ; 1.9 ; 1.6 ; 1.5 ; 2.6 ; 1.3 ; 2.7 ; 0.7 ; 1.9 ; 3.4 ; 3.7 ; 2.1 ; 3.1 ; 4.9 ; 7.2 ; 6.5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3213;Goldach;43.548; 47.0 ; 44.4 ; 37.9 ; 56.0 ; 57.6 ; 34.6 ; 24.7 ; 27.0 ; 27.5 ; 25.3 ; 41.7 ; 35.9 ; 38.4 ; 30.9 ; 48.8 ; 29.8 ; 49.3 ; 31.9 ; 39.8 ; 25.0 ; 19.8 ; 39.3 ; 40.8 ; 48.0 ; 51.9 ; 43.5 ; 50.5 ; 46.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3214;Mörschwil;30.567; 32.7 ; 26.4 ; 28.2 ; 32.6 ; 18.1 ; 13.3 ; 6.9 ; 15.1 ; 27.7 ; 33.3 ; 21.2 ; 22.4 ; 25.5 ; 28.2 ; 22.1 ; 16.4 ; 11.2 ; 12.7 ; 10.2 ; 10.2 ; 28.6 ; 31.8 ; 23.4 ; 13.9 ; 14.4 ; 18.6 ; 29.7 ; 25.7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3215;Rorschach;32.351; 28.9 ; 34.3 ; 32.9 ; 47.1 ; 58.6 ; 36.6 ; 30.4 ; 17.3 ; 49.2 ; 81.9 ; 115.4 ; 43.0 ; 42.2 ; 16.5 ; 25.6 ; 27.5 ; 40.0 ; 16.4 ; 39.1 ; 31.4 ; 34.2 ; 37.3 ; 22.3 ; 22.3 ; 21.4 ; 31.7 ; 31.7 ; 64.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
